spotId,x,y,r
1,-7.119172698913592,6.2515969448231115,0.750886
2,-14.054721574384926,2.262524720814472,0.750811
3,-7.132611807164767,-1.7502412991123142,0.750919
4,-14.067939783192438,-5.738648657989443,0.750837
5,-7.146049276130633,-9.751515840486647,0.750942
6,-14.081195578908853,-13.74008523870184,0.750874
7,-7.159540424502628,-17.752336335751544,0.750978
8,-14.094570149707703,-21.74044853885556,0.750895
9,-7.172364653196966,-25.752882449359703,0.750986
10,-14.107213953363326,-29.740409288312975,0.75091
11,-7.185991055823059,-33.75236076353663,0.751025
12,-14.120803103846761,-37.73968307685867,0.750971
13,-7.199772052303925,-41.751315976452226,0.75107
14,-14.133800999173225,-45.73751558845879,0.750949
15,-7.212891925073348,-49.74859074051504,0.751025
16,-14.146803910928714,-53.734223502520734,0.750966
17,-7.2268668082729395,-57.744292746420435,0.751071
18,-14.160044033252543,-61.72905850978969,0.750995
19,-7.240262221999949,-65.7388766967762,0.751101
20,-14.17348674716087,-69.72283129933821,0.751023
21,-7.254573283907388,-73.73244825490953,0.75108
22,-14.186307426262347,-77.71518058228233,0.751003
23,-7.268290357603316,-81.72387418021295,0.751134
24,-14.200153138150007,-85.70618502179697,0.751069
25,-7.283005521441821,-89.7133451838865,0.751121
26,-14.213462253379252,-93.69463844508037,0.751083
27,-7.297152414805146,-97.70186189520739,0.75119
28,-14.227024184180596,-101.68258037467416,0.751073
29,-7.3115330446696225,-105.68818213167995,0.751172
30,-14.240847012432159,-109.66839866420956,0.751202
31,-7.326187894762254,-113.67389041593482,0.751327
32,-14.25507515177168,-117.65333986823043,0.751286
33,-7.341146182281362,-121.65851347668561,0.751428
34,-14.269645975442655,-125.63795156883748,0.751407
35,-7.356393320781922,-129.64290484793085,0.751486
36,-14.283795780798275,-133.62128858133354,0.75153
37,-7.371973391897869,-137.6257574138504,0.751767
38,-14.299203829841035,-141.6052872041207,0.751799
39,-7.387934178283138,-145.61025221942262,0.75193
40,-14.31428963740874,-149.58933616543368,0.751979
41,-7.403510746580744,-153.59393334754498,0.752159
42,-14.329846309273945,-157.5731851403102,0.752262
43,-7.420233428686697,-161.57879799160807,0.752503
44,-14.345935615808287,-165.55962106269996,0.752644
45,-7.436648028148471,-169.56581144416205,0.752841
46,-14.362589510164405,-173.54649499577292,0.75297
47,-7.454265252021522,-177.55331769290595,0.753293
48,-14.379835776992495,-181.53632881444435,0.753478
49,-7.471617345080089,-185.5443524109151,0.753717
50,-14.396961726240848,-189.52798032732275,0.753993
51,-7.489496252934429,-193.53762144796,0.754406
52,-14.41484889572422,-197.5233254530032,0.754657
53,-7.507958718565827,-201.53494269788993,0.755031
54,-14.433469730510733,-205.52255954591126,0.75541
55,-7.527029165996253,-209.5363955336455,0.755881
56,-14.452957861824906,-213.52682160605778,0.756338
57,-7.546045586077553,-217.5436797055833,0.757052
58,-20.963367848418386,14.276900795281263,0.750634
59,-27.89819656407381,10.287810283859528,0.750521
60,-20.977045246242714,6.275920466707652,0.750675
61,-27.911684000673162,2.2867215624977075,0.750562
62,-20.990016853895,-1.7259207451894272,0.75071
63,-27.924463749821744,-5.714540780855832,0.750599
64,-21.00307482237221,-9.72726225576537,0.750744
65,-27.93730001960729,-13.71531625849638,0.750632
66,-21.016193473131977,-17.728187718782245,0.750769
67,-27.950271063706627,-21.71496546871069,0.750656
68,-21.028614132933342,-25.727955761804193,0.750791
69,-27.96272239751646,-29.71521021038622,0.750704
70,-21.041997039624828,-33.72767404726842,0.750849
71,-27.9753820899401,-37.7139199646759,0.75071
72,-21.05410462104749,-41.72594124697665,0.750846
73,-27.987222530122896,-45.71072047405032,0.750714
74,-21.066896993070387,-49.72305498802259,0.750854
75,-27.999326014512032,-53.706944404854724,0.750752
76,-21.079194588476035,-57.718920992555425,0.750878
77,-28.01167178588679,-61.701922422387774,0.750787
78,-21.09248045181062,-65.7128949179019,0.75092
79,-28.023505250999477,-69.69572624266392,0.750765
80,-21.105193143555265,-73.70561550380346,0.750888
81,-28.035491528925554,-77.68744156792873,0.750847
82,-21.11736998596289,-81.6972684217358,0.750976
83,-28.047870943771485,-85.6778140674345,0.750825
84,-21.13058790804843,-89.68667240184527,0.750947
85,-28.05970796515377,-93.66717844027816,0.750892
86,-21.143311595252666,-97.6753440762798,0.751005
87,-28.07184661964208,-101.654323456985,0.750884
88,-21.15627903188058,-105.66166727424239,0.751043
89,-28.08442622722037,-109.63987477566552,0.751035
90,-21.16972160927757,-113.64692756571922,0.751169
91,-28.096748334433244,-117.62501995954976,0.751122
92,-21.18280883612735,-121.63171055873866,0.75128
93,-28.110279991530803,-125.60988758434017,0.751206
94,-21.196296788364293,-129.61539499047043,0.75134
95,-28.123498541123457,-133.5928326290121,0.751429
96,-21.211001801371058,-137.59945525331594,0.751648
97,-28.136734694948384,-141.57733712875628,0.751636
98,-21.225577355073238,-145.58337308155728,0.751801
99,-28.15124027533888,-149.5616899522891,0.751837
100,-21.240629657496616,-153.567322056945,0.752049
101,-28.165671871343573,-157.5460627298582,0.752158
102,-21.2555553450328,-161.55256050585604,0.752407
103,-28.18090591747912,-165.53237558301225,0.752525
104,-21.271924424109443,-169.53917094115718,0.752727
105,-28.196872607486632,-173.51971627689267,0.752891
106,-21.288181685499215,-177.5278517375652,0.753205
107,-28.21374548112321,-181.50953396372267,0.753359
108,-21.305231260660083,-185.5185034253927,0.753631
109,-28.230730097698256,-189.50192611984565,0.75396
110,-21.32235390497383,-193.5123291491432,0.754335
111,-28.24810499227434,-197.49805084877204,0.754584
112,-21.341155725074486,-201.50985517339996,0.754964
113,-28.267305190533556,-205.497808577879,0.755377
114,-21.36020060117767,-209.51171070762945,0.755828
115,-34.80582752564739,22.30148627699202,0.750314
116,-41.73965234812903,18.31244157736774,0.750169
117,-34.819644707345915,14.300397194040945,0.750354
118,-41.75320840197248,10.31196101913335,0.750206
119,-34.83283869227233,6.299315931976517,0.750391
120,-41.76617841474278,2.3114494409638158,0.750245
121,-34.846129706449055,-1.7011570115837842,0.750427
122,-41.77932265816929,-5.689249729207323,0.750279
123,-34.85876118707522,-9.701852417607133,0.750462
124,-41.791919469797215,-13.689509104642429,0.750323
125,-34.87081041100195,-17.702146838710007,0.750501
126,-41.80391318567995,-21.689431337600915,0.750351
127,-34.883847557393175,-25.70225582784427,0.750537
128,-41.81590101457719,-29.688249977201384,0.750366
129,-34.89547112131336,-33.70136713151319,0.750546
130,-41.827297337621175,-37.686088748913285,0.750401
131,-34.90781912524821,-41.69866426611984,0.750567
132,-41.8390053867317,-45.683216261055854,0.750431
133,-34.918979183185506,-49.695299071680516,0.750598
134,-41.85023050708751,-53.67893422813277,0.750473
135,-34.93114028786138,-57.69062407899201,0.750643
136,-41.86099101647972,-61.6733813387857,0.750468
137,-34.94208102887242,-65.68473710235347,0.75063
138,-41.87183412862577,-69.6663362483478,0.750516
139,-34.95386141502093,-73.67740971941284,0.75068
140,-41.88246318366429,-77.65785367341995,0.750545
141,-34.96537089663113,-81.66872168397983,0.7507
142,-41.893249444709646,-85.64816826951564,0.750587
143,-34.97633668235715,-89.6573828027099,0.75075
144,-41.90447206737747,-93.63635778340353,0.750594
145,-34.988395009296624,-97.6454335574022,0.750739
146,-41.91522852458429,-101.62295895132489,0.750709
147,-34.99930245044839,-105.63214479745332,0.750879
148,-41.926696041385455,-109.60918825804657,0.750798
149,-35.01158590789922,-113.61780605467787,0.750963
150,-41.937945041063664,-117.5948044368435,0.750925
151,-35.02364191600525,-121.60226610760257,0.751086
152,-41.949689608983995,-125.57910321016122,0.750993
153,-35.036103722010445,-129.58611651474916,0.7512
154,-41.96146323750346,-133.5631211178049,0.751294
155,-35.04940466614367,-137.57037672589192,0.751474
156,-41.97408414038768,-141.5474166445691,0.75145
157,-35.0626061724663,-145.5546124708309,0.751644
158,-41.98736960216088,-149.53164948243634,0.751694
159,-35.076474440591205,-153.53916426714036,0.751925
160,-42.00157703583852,-157.5170139736951,0.752047
161,-35.091237797793866,-161.52451959763812,0.752303
162,-42.01605900829379,-165.50425453250838,0.752368
163,-35.10611689191799,-169.51171580672738,0.752611
164,-42.030744632080655,-173.49182909081216,0.752827
165,-35.12193186948592,-177.50066041346247,0.753115
166,-42.047345328353295,-181.482692337342,0.753253
167,-35.1387431767003,-185.49206473790647,0.753573
168,-42.06366678743636,-189.47583612638752,0.753925
169,-35.15603742100288,-193.48663206894642,0.754263
170,-42.082183040815536,-197.47262440794174,0.754543
171,-35.174549901016036,-201.48484367548411,0.754941
172,-48.64438161591214,30.32358716373623,0.749899
173,-55.57710877310603,26.33439430471545,0.749725
174,-48.65924086859995,22.323740109692928,0.749947
175,-55.5909038337159,18.335185531499892,0.749761
176,-48.67269262870935,14.323951363374327,0.749999
177,-55.60482750503453,10.335245275669795,0.749804
178,-48.68617318225189,6.323340329234065,0.750039
179,-55.61815008154506,2.335977047920234,0.749854
180,-48.69901981539349,-1.6766504686594712,0.750076
181,-55.630829973662784,-5.664211980177112,0.749888
182,-48.71197683924645,-9.676875694040634,0.750111
183,-55.64294338917873,-13.663173176592531,0.749928
184,-48.72355261682391,-17.67587997553566,0.750141
185,-55.654511693124334,-21.661761283042587,0.749961
186,-48.735255435553384,-25.6752819569685,0.750175
187,-55.665538213776,-29.660081942626743,0.749992
188,-48.74651353370806,-33.67299519340961,0.750205
189,-55.67681015314847,-37.657518682722426,0.750036
190,-48.7579972560345,-41.67062537881393,0.750239
191,-55.68768184731285,-45.653478223439905,0.75007
192,-48.76905783810891,-49.666070170587446,0.750276
193,-55.69790567712161,-53.648611288011175,0.750077
194,-48.77958770835935,-57.66085730160596,0.750281
195,-55.70766589897012,-61.64238752644378,0.750142
196,-48.79024403334607,-65.65418438893803,0.750334
197,-55.71794872043764,-69.63522152053862,0.750167
198,-48.800706204945506,-73.64671712957995,0.750364
199,-55.72765949619286,-77.62601510011105,0.750215
200,-48.81058647910279,-81.63723628741505,0.750408
201,-55.73711251983004,-85.61528892740553,0.75024
202,-48.82092904643927,-89.62632546089007,0.750429
203,-55.7468000550244,-93.6035496151792,0.75032
204,-48.83077631049189,-97.61369644950155,0.75052
205,-55.75658537627386,-101.59040589136615,0.750427
206,-48.841400477413046,-105.6005677322009,0.750621
207,-55.766944818688316,-109.57717825341085,0.750548
208,-48.85185288863334,-113.58595115797024,0.750745
209,-55.777221583052,-117.5618716593897,0.750622
210,-48.86286880569835,-121.57079823424105,0.750802
211,-55.787354129879034,-125.54610759701981,0.750859
212,-48.87457145779387,-129.55481965267862,0.751078
213,-55.79867169952203,-133.5314863243715,0.751052
214,-48.886555445142896,-137.54000074919983,0.751249
215,-55.8107203990487,-141.51566988847912,0.75125
216,-48.899232720821956,-145.52412449981568,0.75147
217,-55.82296890311369,-149.50101253344997,0.751549
218,-48.91210890280213,-153.50898222891504,0.751799
219,-55.83646126896367,-157.48708983125397,0.751907
220,-48.92613025602938,-161.4955822202006,0.752146
221,-55.85029208628211,-165.474610268291,0.752241
222,-48.940393153875746,-169.48296330760985,0.75253
223,-55.865471528562104,-173.4639572108003,0.75272
224,-48.95595104517787,-177.4733953885397,0.752977
225,-55.88121801823375,-181.45463438483415,0.753213
226,-48.97198123329879,-185.46542439555625,0.753574
227,-55.8979552334161,-189.44931351424458,0.753864
228,-48.989670106715785,-193.46090422267096,0.754191
229,-62.47889261494181,38.342739335220635,0.74944
230,-69.40959427065062,34.35427039592461,0.749217
231,-62.49437741330064,30.344550920745707,0.749476
232,-69.4249487492945,26.35605807606766,0.749267
233,-62.50855238784691,22.345866251944248,0.749514
234,-69.4388985330799,18.357980764016627,0.74931
235,-62.52215280798027,14.347277922102123,0.749562
236,-69.45226994686458,10.359203834941011,0.749352
237,-62.53589199045986,6.347906279226313,0.749608
238,-69.46510328841052,2.3603697935969006,0.749395
239,-62.54829632278566,-1.651570361630798,0.74964
240,-69.47816780256608,-5.63790480052841,0.749438
241,-62.560889996768566,-9.650537361006709,0.749685
242,-69.48996694512718,-13.636446881092148,0.749474
243,-62.5729383867641,-17.649082463086227,0.749723
244,-69.50128392915357,-21.63388583867989,0.749517
245,-62.58372588501945,-25.64729939988192,0.74977
246,-69.51204211636328,-29.63104740770763,0.749547
247,-62.594824642775826,-33.64461158916611,0.74981
248,-69.52219279811095,-37.62722619806528,0.749584
249,-62.605403006735955,-41.640307774696446,0.749835
250,-69.53272720210585,-45.62265575390046,0.749642
251,-62.615302391891355,-49.6358566981174,0.749869
252,-69.54229774240734,-53.6167909086226,0.749678
253,-62.624999951586815,-57.62944593631911,0.749933
254,-69.55126773052739,-61.61022929333112,0.749718
255,-62.63503601521538,-65.62258011996698,0.749949
256,-69.56068928025216,-69.60180846135732,0.749783
257,-62.64383697715617,-73.61370712917106,0.75001
258,-69.56897192621392,-77.59228129927767,0.749804
259,-62.65309900031549,-81.60395743642378,0.750028
260,-69.57766473645937,-85.58107532484972,0.749908
261,-62.662648327904826,-89.59244279492707,0.750125
262,-69.58650808328318,-93.5689452209073,0.750006
263,-62.67157945575316,-97.58013092924965,0.750222
264,-69.59596024093754,-101.55651154196062,0.750115
265,-62.68112148652007,-105.56687438721717,0.750335
266,-69.60463760765782,-109.54254323692804,0.7502
267,-62.690611764827295,-113.55220897041393,0.750411
268,-69.61392626076734,-117.52706883748503,0.750406
269,-62.70068254427807,-121.53689520136886,0.750632
270,-69.62457164383065,-125.51315849669808,0.750608
271,-62.71129828753842,-129.52256147965073,0.750834
272,-69.63530297774861,-133.49784440749465,0.750794
273,-62.72269900950448,-137.5069407598441,0.751024
274,-69.64627374335154,-141.48321385938726,0.751059
275,-62.73431534381652,-145.49221336175518,0.751311
276,-69.65784812819184,-149.4687545024286,0.751407
277,-62.74723434255772,-153.47793585086924,0.751662
278,-69.6707515272987,-157.45637844513686,0.751709
279,-62.76062659107369,-161.46505968708547,0.751969
280,-69.68500600951913,-165.44414566706413,0.752171
281,-62.774595488167485,-169.45423124623514,0.752451
282,-69.69936446925522,-173.43459026660102,0.752579
283,-62.7900350733046,-177.4446811660501,0.752883
284,-69.71544293411657,-181.42771754602094,0.753227
285,-62.80647408190829,-185.43844946080745,0.753545
286,-76.30780691519632,46.35855435556007,0.748915
287,-83.2367671755992,42.37005220096295,0.748667
288,-76.32398372501272,38.36264631046566,0.748951
289,-83.2528525654204,34.37415808891035,0.748713
290,-76.33893336926374,30.365640398898304,0.748991
291,-83.26752992106765,26.37775436120747,0.748756
292,-76.35416610359196,22.36810139942164,0.749032
293,-83.2816445716761,18.380019442823446,0.748795
294,-76.36806031514004,14.369897438493949,0.749075
295,-83.29529477895193,10.383092114367566,0.748839
296,-76.38137725635814,6.372408244003978,0.749123
297,-83.30843890953295,2.3853574984039154,0.748881
298,-76.39410930438721,-1.625955031131301,0.749164
299,-83.32110224519143,-5.611800822003115,0.748924
300,-76.40630173267415,-9.623790809069211,0.74921
301,-83.33256215306912,-13.608476627467452,0.748967
302,-76.41720191988514,-17.62117185685256,0.749248
303,-83.34358394318535,-21.60555549878442,0.749016
304,-76.42833808515329,-25.618231590522534,0.749287
305,-83.35420285919908,-29.600901897033598,0.749065
306,-76.43911455949085,-33.61435870653315,0.749333
307,-83.36429027924501,-37.59607262114322,0.749105
308,-76.44884772553166,-41.60970397925758,0.749385
309,-83.37391749085515,-45.590427269954496,0.749158
310,-76.45807381970143,-49.60352597415598,0.749424
311,-83.38254786740352,-53.58417359442078,0.749216
312,-76.46756311257158,-57.59668927667195,0.749475
313,-83.39153952556076,-61.575864034732355,0.749253
314,-76.47609401343972,-65.58871672821138,0.749528
315,-83.39931999514398,-69.56701353468753,0.749329
316,-76.48483969151883,-73.57947684234072,0.749568
317,-83.40798031524724,-77.55676644335963,0.749434
318,-76.49274155180375,-81.56869347194191,0.749682
319,-83.41582501095169,-85.54587568056623,0.74952
320,-76.50146776030573,-89.5575469996133,0.749766
321,-83.42439916777624,-93.53383569683236,0.749638
322,-76.51009967415278,-97.54525826530336,0.749885
323,-83.43210827862708,-101.52067142119144,0.749718
324,-76.51869753680562,-105.53130599736537,0.749964
325,-83.44064338776508,-109.50605131014491,0.749939
326,-76.52718977524772,-113.5173027163536,0.750174
327,-83.44986599115701,-117.49256674830038,0.750123
328,-76.53713144549745,-121.50317684821093,0.750373
329,-83.4599421989034,-125.47817057934896,0.750307
330,-76.5471719829269,-129.48826731141463,0.750554
331,-83.47036341881648,-133.46342845868645,0.750558
332,-76.55823665380306,-137.47389741508889,0.750814
333,-83.48071217053396,-141.44992679706988,0.750885
334,-76.56920488809861,-145.45945602048042,0.751149
335,-83.49334827835656,-149.4367169978799,0.751189
336,-76.58162085510023,-153.44621328513904,0.75145
337,-83.50584753319689,-157.42456185793583,0.751603
338,-76.5953668975525,-161.43429775762328,0.751886
339,-83.520198058741,-165.41479833946488,0.752002
340,-76.60935569821467,-169.42492482733724,0.75229
341,-83.53478131744954,-173.4060305279769,0.75258
342,-76.62506416714801,-177.4169680962308,0.752902
343,-90.1314666486668,54.37084492166952,0.748344
344,-97.05817653403884,50.38225337471599,0.748088
345,-90.14840097762307,46.3770728533057,0.748389
346,-97.07496435305691,42.388490057985436,0.748121
347,-90.16469278443041,38.38145836063425,0.748424
348,-97.0911767775732,34.39357766097709,0.748164
349,-90.17980835451446,30.386222236784114,0.748458
350,-97.10606311590715,26.39891671993164,0.748203
351,-90.1944180373253,22.389703687834665,0.7485
352,-97.12042771143659,18.402919511702493,0.748241
353,-90.20925310264847,14.393255512924108,0.748545
354,-97.13434286215013,10.406977708540175,0.748282
355,-90.2220729430896,6.396821649531188,0.748589
356,-97.14706091267469,2.410992519365453,0.748327
357,-90.23515081106375,-1.5997461018749946,0.748632
358,-97.15933417051068,-5.58516352863738,0.748373
359,-90.24700009120919,-9.596523644904115,0.748679
360,-97.17119594159766,-13.580855976592217,0.748421
361,-90.25838405922293,-17.592880385846613,0.748725
362,-97.18192058216346,-21.576181623549388,0.748474
363,-90.26857606071391,-25.58815405284187,0.74877
364,-97.19226436374028,-29.570518911508834,0.748527
365,-90.27837939453151,-33.58323221783139,0.748825
366,-97.20139667322466,-37.564677715983585,0.748577
367,-90.28789035005117,-41.5775184707226,0.748881
368,-97.21011974440121,-45.55727446103287,0.748637
369,-90.2969942492218,-49.57107449438978,0.748926
370,-97.21867492077381,-53.550048820717926,0.748716
371,-90.30561038189522,-57.56318395909072,0.748987
372,-97.22726842631656,-61.54100937606081,0.748799
373,-90.3134081007029,-65.55420661278893,0.749078
374,-97.23569463211214,-69.53171284826209,0.748884
375,-90.32201356617084,-73.54445483260332,0.749163
376,-97.24333584940726,-77.52086504295458,0.748994
377,-90.3297362068092,-81.53315561906024,0.749262
378,-97.25095435010074,-85.5094174582991,0.749085
379,-90.33824619738297,-89.52142230565521,0.749371
380,-97.25911533123484,-93.49660869680137,0.749221
381,-90.34578998429093,-97.50836491826261,0.749471
382,-97.26717020296263,-101.48341748628042,0.749431
383,-90.35439871488906,-105.49552863839705,0.749693
