spotId,x,y,r
1,-8.898093595809,3.7446384305876395,0.750886
2,-15.902823612760912,-0.11830130040642917,0.750811
3,-8.902453755224322,-4.269795053410948,0.750919
4,-16.015922625830484,-8.175391747038395,0.750837
5,-8.944770693213988,-12.24631172155137,0.750942
6,-15.967542854309642,-16.08439555945615,0.750874
7,-8.986314247782367,-20.377535777622768,0.750978
8,-15.840084958339169,-24.358304586758795,0.750895
9,-8.783569888451861,-28.589576498209954,0.750986
10,-15.894740872688317,-32.35666139508624,0.75091
11,-8.84753253903041,-36.42535711655032,0.751025
12,-15.919780411769693,-40.33817662010137,0.750971
13,-8.921457103750036,-44.39874499849942,0.75107
14,-15.816915295240712,-48.34331758351275,0.750949
15,-8.979467942073548,-52.42205704444123,0.751025
16,-15.955453466794026,-56.383364702783716,0.750966
17,-8.94357799227619,-60.49731413463667,0.751071
18,-16.03693883166048,-64.2828427975685,0.750995
19,-8.880612717603029,-68.52355443948562,0.751101
20,-16.064465486423686,-72.25870862789914,0.751023
21,-8.911414805905409,-76.5544459381223,0.75108
22,-16.068132566184005,-80.35772619292997,0.751003
23,-8.90744527582413,-84.50520235245148,0.751134
24,-16.217771387484163,-88.06353649748272,0.751069
25,-8.962374540389732,-92.49238910505557,0.751121
26,-16.10267456170267,-96.2359572701406,0.751083
27,-9.09428585294944,-100.44215053205463,0.75119
28,-16.080817040277623,-104.35901166199349,0.751073
29,-9.145002263145528,-108.48878626310125,0.751172
30,-16.250758999698377,-112.24697209141509,0.751202
31,-9.144858245108594,-116.51808313986133,0.751327
32,-16.31157458356556,-120.13475332304715,0.751286
33,-9.179518713521375,-124.4896202200477,0.751428
34,-16.597716677767906,-128.19228404267685,0.751407
35,-9.292324803235033,-132.33439470992627,0.751486
36,-16.39101652693506,-136.29308403117702,0.75153
37,-9.415534145561935,-140.38433603699204,0.751767
38,-16.46196304702346,-143.59775948992345,0.751799
39,-9.428936120436646,-148.28867231308968,0.75193
40,-16.506313492438096,-152.10471593251268,0.751979
41,-9.511231197867147,-156.27719719991487,0.752159
42,-16.4406908977723,-160.1935729218857,0.752262
43,-9.484196099785464,-164.38389999674612,0.752503
44,-16.529208965820118,-168.19615532987697,0.752644
45,-9.524827856668338,-172.40360879897196,0.752841
46,-16.56040248252981,-176.19748144538664,0.75297
47,-9.702065476863055,-180.2493757173298,0.753293
48,-16.76508375255341,-184.14799160642704,0.753478
49,-9.602076837413932,-188.22127633869766,0.753717
50,-16.648124228443265,-192.27655374548596,0.753993
51,-9.556189275722403,-196.1367706421329,0.754406
52,-17.08991556969076,-199.93612705698723,0.754657
53,-9.68893495789058,-204.2586956195407,0.755031
54,-16.663638621610147,-208.11260535588065,0.75541
55,-9.79912273963481,-212.31110815977894,0.755881
56,-16.699434726930974,-216.18086717310138,0.756338
57,-9.740000653266122,-220.44492970239185,0.757052
58,-22.325629964379996,11.804196941282026,0.750634
59,-29.6741570535209,8.118894260112882,0.750521
60,-22.49367331370422,3.649138252450804,0.750675
61,-29.709344329361677,-0.039041454268435305,0.750562
62,-22.362611538044092,-4.250773522544371,0.75071
63,-29.712537580995367,-7.932131885721361,0.750599
64,-22.51655577805143,-12.309828362601706,0.750744
65,-29.765851797917257,-15.958965406847163,0.750632
66,-22.437650377100645,-20.211703399955972,0.750769
67,-29.744292704991608,-23.920200606047345,0.750656
68,-22.61609157217358,-28.293542487168096,0.750791
69,-29.801085246520653,-31.99980558308329,0.750704
70,-22.62482224157654,-36.19791409789663,0.750849
71,-29.926042734625796,-39.920388882493704,0.75071
72,-22.60620845606286,-44.37955693874794,0.750846
73,-29.892204808247584,-48.03299302228361,0.750714
74,-22.652528242943525,-52.40736972432325,0.750854
75,-29.945982938138968,-56.07473841459718,0.750752
76,-22.699253350443108,-60.461214768453345,0.750878
77,-29.954494319585386,-64.09984392195125,0.750787
78,-22.809644968813842,-68.33642936450629,0.75092
79,-30.01398491544677,-72.05895392421296,0.750765
80,-22.623584804202466,-76.44586546014762,0.750888
81,-29.982182898361685,-80.1504117366833,0.750847
82,-22.86069810941453,-84.32891481108,0.750976
83,-30.22026625952988,-87.88712435750878,0.750825
