# Per-cobra open-loop response of the two blind moves, measured 2026-09-14 with the
# dots rotated 90 deg in theta so both moves were visible to MCS.
#
# landingGain: measured phi change over commanded, for the ramp's move to the
#   landing fraction, whose start is the measured iteration-7 angle.
# targetGain:  the same for the move to dotTarget, commanded as a fraction of the
#   chord from the tracker's belief that it is at the landing fraction.
#
# The two are only weakly related (r = 0.39), so one gain cannot stand for both.
# dotTarget for a depth D, given the measured iteration-7 angle phi7:
#   landed = phi7 + landingGain * (phiAt(landing) - phi7)
#   dotTarget = landing + (phiAt(D) - landed) / (targetGain * chord)
# calibrated False means the fleet default applies.
cobraId,landingGain,targetGain,calibrated
1,1.0554,1.0017,True
2,1.0557,1.1029,True
3,1.1871,1.5769,True
4,1.1067,0.8758,True
5,1.0054,1.1133,True
6,1.4498,1.2945,True
7,0.9430,0.8832,True
8,0.9537,0.9538,True
9,0.9158,0.8452,True
10,0.9522,1.0777,True
11,1.1160,0.9352,True
12,1.1336,1.2071,True
13,1.1363,1.0784,True
14,1.3193,1.1192,True
15,1.1013,0.9555,True
16,1.0651,0.9243,True
17,1.0299,1.0022,True
18,1.2243,1.5996,True
19,0.9036,0.9539,True
20,1.0083,1.0152,True
21,1.0776,1.1145,True
22,1.2185,1.1794,True
23,1.0285,1.0128,True
24,1.2142,1.6110,True
25,1.1041,1.2632,True
26,1.0537,0.8642,True
27,0.9807,0.8531,True
28,0.8986,0.9282,True
29,0.8934,0.9411,True
30,1.1194,0.9662,True
31,1.0128,1.0281,True
32,1.0468,0.8512,True
33,1.0093,1.1051,True
34,1.1850,1.0277,True
35,0.9021,1.0155,True
36,1.0272,1.0549,True
37,0.9835,0.9894,True
38,1.2099,1.1848,True
39,1.0366,0.9218,True
40,1.2534,1.3967,True
41,0.9410,1.0533,True
42,1.1094,0.9311,True
43,1.0540,0.9757,True
44,0.9236,0.8849,True
45,0.8624,0.9367,True
46,1.0318,0.8443,True
47,1.0000,1.0000,False
48,1.1094,0.9910,True
49,1.0000,1.0000,False
50,1.0000,1.0000,False
51,1.0085,0.9864,True
52,1.0475,1.0692,True
53,0.9595,1.4372,True
54,1.0400,1.0696,True
55,1.1828,1.5009,True
56,0.9824,0.9391,True
57,1.0428,1.0257,True
58,0.9752,0.8446,True
59,1.0237,0.9868,True
60,1.1381,1.0520,True
61,1.1261,1.0315,True
62,1.1572,1.0957,True
63,1.0242,0.9657,True
64,0.9861,0.9735,True
65,1.0442,1.0747,True
66,1.0501,1.0767,True
67,1.1051,1.0546,True
68,0.9552,1.1031,True
69,0.9724,1.0073,True
70,0.8843,1.2685,True
71,1.0178,0.9686,True
72,0.8788,0.9059,True
73,1.5624,1.2947,True
74,1.0182,1.0418,True
75,1.1605,0.9137,True
76,1.2336,1.2544,True
77,0.9795,1.2851,True
78,0.8852,1.1447,True
79,1.3338,0.8848,True
80,0.8522,0.9048,True
81,0.9889,0.7724,True
82,0.9059,1.0618,True
83,1.1679,1.1613,True
84,1.0162,0.9925,True
85,0.9018,1.0957,True
86,0.8303,0.8497,True
87,0.9134,0.9760,True
88,0.9999,1.1238,True
89,1.4944,1.0458,True
90,0.8944,1.0954,True
91,1.0351,1.1516,True
92,0.9891,1.1131,True
93,1.0466,0.9602,True
94,1.1528,1.2356,True
95,0.8622,1.0131,True
96,0.8020,0.9065,True
97,1.0011,1.0366,True
98,1.0071,0.9165,True
99,1.0266,0.9562,True
100,0.8067,0.8104,True
101,1.0682,1.0937,True
102,0.9550,0.9168,True
103,0.9568,1.1159,True
104,1.0000,1.0000,False
105,0.8808,0.8548,True
106,1.2372,1.3204,True
107,1.0246,1.0024,True
108,1.2293,1.0752,True
109,1.0547,1.0190,True
110,0.9632,0.8657,True
111,0.9123,0.9240,True
112,0.9810,1.0428,True
113,0.9787,1.0104,True
114,0.9418,1.0526,True
115,0.9761,1.0658,True
116,0.9703,1.0100,True
117,1.1170,1.2440,True
118,1.1824,1.0778,True
119,1.0811,0.9928,True
120,0.8830,1.0002,True
121,1.1416,1.8739,True
122,1.0150,1.0739,True
123,0.9819,0.9878,True
124,0.9097,0.8960,True
125,0.9901,0.8194,True
126,0.9960,0.9652,True
127,1.2666,1.0836,True
128,1.0216,0.8585,True
129,1.1444,0.8591,True
130,0.9871,0.8020,True
131,1.2660,0.9620,True
132,1.1107,1.0410,True
133,1.0322,0.9051,True
134,1.1044,1.1197,True
135,1.0042,0.9399,True
136,1.0533,0.9819,True
137,1.0695,1.2117,True
138,1.0382,0.9574,True
139,1.2817,1.0295,True
140,0.8505,0.9020,True
141,1.2389,0.7984,True
