# Per-cobra black-dot target, in dot fraction (0 = entry edge, 0.5 = geometric centre,
# 1 = exit edge).  `calibrated` False means dotTargetFraction is the fleet fallback,
# not a measurement.  source: sept1scan = fitted to the dot scan of 2026-09-01
# (run 20260901_047, visits 148471-148483) through the fps tracker and measured
# gain; july2scan = fitted to the two scans of 2026-07-24 where 2026-09-01 gave no
# usable fit.  Accepted: fitted, inside the scan's own depth range, within 0.15-0.85.
cobraId,dotTargetFraction,calibrated,dotEdgeFraction,entryEdgeSeen,runSpread,source
1,0.6581,True,0.1162,True,,sept1scan
2,0.5331,True,0.0661,True,,sept1scan
3,0.5066,True,,False,,sept1scan
4,0.4762,True,0.0504,True,,sept1scan
5,0.5248,True,0.0747,True,,sept1scan
6,0.437,True,0.0661,True,,sept1scan
7,0.5615,True,0.0695,True,,sept1scan
8,0.5812,True,0.0736,True,,sept1scan
9,0.4093,True,0.0467,True,,sept1scan
10,0.4854,True,0.0658,True,,sept1scan
11,0.5482,True,,False,,sept1scan
12,0.3867,True,0.0499,True,,sept1scan
13,0.5159,True,0.0885,True,,sept1scan
14,0.4955,True,,False,,sept1scan
15,0.5458,True,0.0864,True,,sept1scan
16,0.5467,True,0.0821,True,,sept1scan
17,0.4382,True,0.0824,True,,sept1scan
18,0.4215,True,0.0831,True,,sept1scan
19,0.565,True,0.0745,True,,sept1scan
20,0.5764,True,0.0832,True,,sept1scan
21,0.7047,True,0.1066,True,,sept1scan
22,0.5611,True,0.0836,True,,sept1scan
23,0.5095,True,0.0903,True,,sept1scan
24,0.4247,True,0.112,True,,sept1scan
25,0.5511,True,0.0582,True,,sept1scan
26,0.5193,True,0.0799,True,,sept1scan
27,0.5357,True,0.0439,True,,sept1scan
28,0.4962,True,0.0626,True,,sept1scan
29,0.5289,True,0.0676,True,,sept1scan
30,0.528,True,0.0756,True,,sept1scan
31,0.4882,True,0.0527,True,,sept1scan
32,0.3745,True,0.0107,True,,sept1scan
33,0.3569,True,0.0297,True,,sept1scan
34,0.3261,True,0.0432,True,,sept1scan
35,0.5643,True,0.0942,True,,sept1scan
36,0.48,True,0.072,True,,sept1scan
37,0.4732,True,0.0761,True,,sept1scan
38,0.4493,True,0.0934,True,,sept1scan
39,0.5266,True,0.0916,True,,sept1scan
40,0.391,True,0.0499,True,,sept1scan
41,0.4864,False,,False,,none
42,0.2625,True,,False,,sept1scan
43,0.4988,True,0.0558,True,,sept1scan
44,0.4864,False,,False,,none
45,0.4349,True,0.07,True,,sept1scan
46,0.3723,True,,False,,sept1scan
47,0.4864,False,,False,,none
48,0.6198,True,0.1075,True,,sept1scan
49,0.4864,False,,False,,none
50,0.4864,False,,False,,none
51,0.5814,True,0.1057,True,,sept1scan
52,0.496,True,0.0652,True,,sept1scan
53,0.4583,True,0.0851,True,,sept1scan
54,0.3688,True,,False,,sept1scan
55,0.5469,True,0.1036,True,,sept1scan
56,0.515,True,0.0807,True,,sept1scan
57,0.5195,True,0.0826,True,,sept1scan
58,0.5874,True,0.0984,True,,sept1scan
59,0.6133,True,0.1283,True,,sept1scan
60,0.4731,True,0.064,True,,sept1scan
61,0.4426,True,,False,,sept1scan
62,0.5662,True,0.0964,True,,sept1scan
63,0.4105,True,0.0766,True,,sept1scan
64,0.5549,True,0.0769,True,,sept1scan
65,0.5595,True,0.0992,True,,sept1scan
66,0.3038,True,0.0251,True,,sept1scan
67,0.5333,True,0.0792,True,,sept1scan
68,0.5485,True,0.0721,True,,sept1scan
69,0.5807,True,0.0924,True,,sept1scan
70,0.6626,True,0.1026,True,,sept1scan
71,0.4657,True,0.066,True,,sept1scan
72,0.5655,True,0.0659,True,,sept1scan
73,0.3036,True,,False,,sept1scan
74,0.5126,True,0.0549,True,,sept1scan
75,0.4593,True,0.0812,True,,sept1scan
76,0.3812,True,0.0648,True,,sept1scan
77,0.5182,True,0.0899,True,,sept1scan
78,0.4653,True,0.095,True,,sept1scan
79,0.6614,True,0.1082,True,,sept1scan
80,0.5805,True,0.0935,True,,sept1scan
81,0.5005,True,0.076,True,,sept1scan
82,0.3938,True,0.0524,True,,sept1scan
83,0.41,True,0.0772,True,,sept1scan
84,0.5615,True,0.0682,True,,sept1scan
85,0.5655,True,0.0704,True,,sept1scan
86,0.5763,True,0.0934,True,,sept1scan
87,0.4406,True,0.0714,True,,sept1scan
88,0.4459,True,,False,,sept1scan
89,0.524,True,0.0498,True,,sept1scan
90,0.5868,True,0.0971,True,,sept1scan
91,0.4893,True,0.0826,True,,sept1scan
92,0.4569,True,0.0592,True,,sept1scan
93,0.6608,True,0.1438,True,,sept1scan
94,0.3691,True,0.0292,True,,sept1scan
95,0.5614,True,0.0854,True,,sept1scan
96,0.5773,True,0.1054,True,,sept1scan
97,0.4253,True,,False,,sept1scan
98,0.5339,True,0.0727,True,,sept1scan
99,0.4295,True,-0.0555,True,,sept1scan
100,0.522,True,,False,,sept1scan
101,0.1793,True,,False,,sept1scan
102,0.3535,True,,False,,sept1scan
103,0.4864,False,,False,,none
104,0.2501,True,-0.0744,True,,sept1scan
105,0.5361,True,0.0607,True,,sept1scan
106,0.3849,True,,False,,sept1scan
107,0.4231,True,0.0562,True,,sept1scan
108,0.3918,True,,False,,sept1scan
109,0.4421,True,,False,,sept1scan
110,0.2607,True,,False,,sept1scan
111,0.3996,True,,False,,sept1scan
112,0.4589,True,0.0271,True,,sept1scan
113,0.3632,True,0.0419,True,,sept1scan
114,0.5146,True,0.0845,True,,sept1scan
115,0.551,True,0.1029,True,,sept1scan
116,0.5949,True,0.1059,True,,sept1scan
117,0.3932,True,0.1023,True,0.001,july2scan
118,0.3926,True,,False,,sept1scan
119,0.4608,True,0.0826,True,,sept1scan
120,0.5274,True,0.0709,True,,sept1scan
121,0.4421,True,0.0651,True,,sept1scan
122,0.4087,True,0.0771,True,,sept1scan
123,0.5478,True,0.0777,True,,sept1scan
124,0.4099,True,0.0365,True,,sept1scan
125,0.5165,True,0.065,True,,sept1scan
126,0.5213,True,0.0756,True,,sept1scan
127,0.3143,True,-0.0195,True,,sept1scan
128,0.5437,True,0.069,True,,sept1scan
129,0.3819,True,0.0282,True,,sept1scan
130,0.5036,True,0.0477,True,,sept1scan
131,0.4168,True,0.0407,True,,sept1scan
132,0.4267,True,,False,,sept1scan
133,0.434,True,0.0519,True,,sept1scan
134,0.5195,True,0.0734,True,,sept1scan
135,0.5609,True,0.1172,True,,sept1scan
136,0.3346,True,-0.0032,True,,sept1scan
137,0.3876,True,0.0533,True,,sept1scan
138,0.5601,True,0.0929,True,,sept1scan
139,0.4991,True,,False,,sept1scan
140,0.6063,True,0.093,True,,sept1scan
141,0.4909,True,,False,,sept1scan
142,0.4955,True,0.0712,True,,sept1scan
143,0.453,True,0.0671,True,,sept1scan
144,0.4557,True,0.09,True,,sept1scan
145,0.3712,True,0.0469,True,,sept1scan
146,0.2529,True,-0.0432,True,,sept1scan
147,0.5531,True,0.0828,True,,sept1scan
148,0.5683,True,0.0919,True,,sept1scan
149,0.5441,True,0.0725,True,,sept1scan
150,0.3758,True,0.0473,True,,sept1scan
151,0.5607,True,0.0888,True,,sept1scan
152,0.3658,True,0.0523,True,,sept1scan
153,0.591,True,0.0828,True,,sept1scan
154,0.4046,True,0.0449,True,,sept1scan
155,0.5783,True,0.0921,True,,sept1scan
156,0.594,True,0.0841,True,,sept1scan
157,0.4259,True,0.0548,True,,sept1scan
158,0.607,True,0.1137,True,,sept1scan
159,0.3602,True,0.0496,True,,sept1scan
160,0.3811,True,0.0246,True,,sept1scan
161,0.3957,True,0.0466,True,,sept1scan
162,0.401,True,0.0612,True,,sept1scan
163,0.6413,True,0.0941,True,,sept1scan
164,0.6413,True,0.1115,True,,sept1scan
165,0.5257,True,0.0666,True,,sept1scan
166,0.5528,True,0.0954,True,,sept1scan
167,0.5808,True,0.0759,True,,sept1scan
168,0.2879,True,-0.0175,True,,sept1scan
169,0.6052,True,0.0553,True,,sept1scan
170,0.4484,True,0.0594,True,,sept1scan
171,0.3735,True,0.0299,True,,sept1scan
172,0.5074,True,0.1119,True,,sept1scan
173,0.4864,False,,False,,none
174,0.5843,True,0.0903,True,,sept1scan
175,0.5208,True,0.1,True,,sept1scan
176,0.5155,True,0.0684,True,,sept1scan
177,0.5641,True,0.0891,True,,sept1scan
178,0.602,True,0.1179,True,,sept1scan
179,0.5496,True,0.0831,True,,sept1scan
180,0.5167,True,0.0692,True,,sept1scan
181,0.2088,True,-0.069,True,0.0591,july2scan
182,0.5516,True,0.0769,True,,sept1scan
183,0.4661,True,0.079,True,,sept1scan
184,0.4038,True,0.0562,True,,sept1scan
185,0.469,True,0.0577,True,,sept1scan
186,0.63,True,0.08,True,,sept1scan
187,0.4705,True,0.0527,True,,sept1scan
188,0.4401,True,0.0771,True,,sept1scan
189,0.5986,True,0.0839,True,,sept1scan
190,0.5338,True,0.0531,True,,sept1scan
191,0.5489,True,0.0586,True,,sept1scan
192,0.5181,True,0.0489,True,,sept1scan
193,0.4864,False,,False,,none
194,0.5663,True,0.0656,True,,sept1scan
195,0.5144,True,0.072,True,,sept1scan
196,0.4528,True,0.0715,True,,sept1scan
197,0.4412,True,0.0838,True,,sept1scan
198,0.4844,True,0.0983,True,,sept1scan
199,0.4759,True,0.1061,True,,sept1scan
200,0.4957,True,0.0399,True,,sept1scan
201,0.3121,True,0.0022,True,,sept1scan
202,0.389,True,0.0529,True,,sept1scan
203,0.5317,True,0.0804,True,,sept1scan
204,0.4883,True,,False,0.0129,july2scan
205,0.3512,True,0.0647,True,,sept1scan
206,0.5788,True,0.1035,True,,sept1scan
207,0.2842,True,0.0535,True,0.0701,july2scan
208,0.4664,True,,False,,sept1scan
209,0.4037,True,0.0322,True,,sept1scan
210,0.4967,True,0.0456,True,,sept1scan
211,0.4574,True,0.1126,True,0.0645,july2scan
212,0.4924,True,0.0612,True,,sept1scan
213,0.5286,True,0.104,True,,sept1scan
214,0.5151,True,0.0626,True,,sept1scan
215,0.5692,True,0.0824,True,,sept1scan
216,0.5172,True,0.0615,True,,sept1scan
217,0.4447,True,0.0525,True,,sept1scan
218,0.4278,True,0.0621,True,,sept1scan
219,0.3752,True,0.0248,True,,sept1scan
220,0.573,True,0.057,True,,sept1scan
221,0.5374,True,0.0746,True,,sept1scan
222,0.4706,True,0.05,True,,sept1scan
223,0.3987,True,0.0435,True,,sept1scan
224,0.4552,True,0.0841,True,,sept1scan
225,0.5369,True,0.0718,True,,sept1scan
226,0.511,True,0.0523,True,,sept1scan
227,0.4818,True,0.0557,True,,sept1scan
228,0.3747,True,0.0708,True,,sept1scan
229,0.5624,True,0.0689,True,,sept1scan
230,0.5535,True,0.1272,True,,sept1scan
231,0.5525,True,0.1023,True,,sept1scan
232,0.3101,True,0.0225,True,,sept1scan
233,0.4746,True,0.0775,True,,sept1scan
234,0.5186,True,0.1026,True,,sept1scan
235,0.4634,True,0.0781,True,,sept1scan
236,0.5214,True,0.085,True,,sept1scan
237,0.5426,True,,False,,sept1scan
238,0.5823,True,0.0887,True,,sept1scan
239,0.5839,True,0.0969,True,,sept1scan
240,0.4143,True,0.0734,True,,sept1scan
241,0.3821,True,0.0606,True,,sept1scan
242,0.6013,True,0.1026,True,,sept1scan
243,0.392,True,,False,,sept1scan
244,0.5318,True,0.0733,True,,sept1scan
245,0.3444,True,0.05,True,,sept1scan
246,0.5842,True,0.0912,True,,sept1scan
247,0.5286,True,0.0705,True,,sept1scan
248,0.5386,True,0.0864,True,,sept1scan
249,0.485,True,0.0843,True,,sept1scan
250,0.5963,True,0.0846,True,,sept1scan
251,0.4439,True,,False,,sept1scan
252,0.4197,True,0.0605,True,,sept1scan
253,0.4323,True,0.0773,True,,sept1scan
254,0.415,True,0.0575,True,,sept1scan
255,0.4702,True,0.0623,True,,sept1scan
256,0.6148,True,0.0933,True,,sept1scan
257,0.5293,True,0.0679,True,,sept1scan
258,0.58,True,0.098,True,,sept1scan
259,0.4548,True,0.0683,True,,sept1scan
260,0.5009,True,0.064,True,,sept1scan
261,0.4469,True,0.0534,True,,sept1scan
262,0.4793,True,0.0527,True,0.0749,july2scan
263,0.4377,True,0.0804,True,,sept1scan
264,0.585,True,0.0825,True,,sept1scan
265,0.3077,True,0.0266,True,,sept1scan
266,0.4948,True,0.0679,True,,sept1scan
267,0.5053,True,0.0747,True,,sept1scan
268,0.3962,True,0.0665,True,,sept1scan
269,0.6294,True,0.0858,True,,sept1scan
270,0.5437,True,0.0521,True,,sept1scan
271,0.4219,True,0.063,True,,sept1scan
272,0.4565,True,0.0616,True,,sept1scan
273,0.3406,True,0.0498,True,,sept1scan
274,0.4353,True,0.0703,True,,sept1scan
275,0.5404,True,0.0888,True,,sept1scan
276,0.6192,True,,False,0.0032,july2scan
277,0.3984,True,0.0702,True,,sept1scan
278,0.5657,True,0.0959,True,,sept1scan
279,0.5449,True,0.0609,True,,sept1scan
280,0.5625,True,0.091,True,,sept1scan
281,0.4219,True,0.0466,True,,sept1scan
282,0.3965,True,0.0433,True,,sept1scan
283,0.5153,True,0.0686,True,,sept1scan
284,0.6742,True,0.1222,True,0.0711,july2scan
285,0.2999,True,0.0078,True,,sept1scan
286,0.4369,True,0.0738,True,,sept1scan
287,0.4543,True,0.0974,True,,sept1scan
288,0.3726,True,,False,,sept1scan
289,0.5204,True,0.0784,True,,sept1scan
290,0.4702,True,0.081,True,,sept1scan
291,0.5321,True,0.0861,True,,sept1scan
292,0.5346,True,0.0786,True,,sept1scan
293,0.6357,True,0.1165,True,,sept1scan
294,0.3954,True,0.0728,True,,sept1scan
295,0.2359,True,-0.0557,True,0.0435,july2scan
296,0.4276,True,0.066,True,,sept1scan
297,0.4853,True,0.0701,True,,sept1scan
298,0.5627,True,0.0819,True,,sept1scan
299,0.4359,True,0.068,True,,sept1scan
300,0.6027,True,0.0939,True,,sept1scan
301,0.4299,True,0.074,True,,sept1scan
302,0.4426,True,0.0684,True,,sept1scan
303,0.542,True,0.0733,True,,sept1scan
304,0.4624,True,0.0626,True,,sept1scan
305,0.4096,True,0.0627,True,,sept1scan
306,0.5245,True,0.0862,True,,sept1scan
307,0.4975,True,0.0681,True,,sept1scan
308,0.4864,False,,False,,none
309,0.5118,True,0.0651,True,,sept1scan
310,0.499,True,,False,,sept1scan
311,0.4112,True,0.0525,True,,sept1scan
312,0.4951,True,0.0823,True,,sept1scan
313,0.6217,True,0.1105,True,,sept1scan
314,0.5973,True,0.0972,True,,sept1scan
315,0.5727,True,,False,0.0278,july2scan
316,0.5913,True,0.1023,True,,sept1scan
317,0.4248,True,0.0664,True,,sept1scan
318,0.4727,True,0.0567,True,,sept1scan
319,0.3793,True,0.0595,True,,sept1scan
320,0.4075,True,0.0784,True,,sept1scan
321,0.4876,True,0.0648,True,,sept1scan
322,0.6207,True,0.0978,True,,sept1scan
323,0.4109,True,0.0558,True,,sept1scan
324,0.3745,True,0.0378,True,,sept1scan
325,0.459,True,0.0997,True,,sept1scan
326,0.4165,True,0.0814,True,,sept1scan
327,0.4765,True,0.0701,True,,sept1scan
328,0.4309,True,0.0523,True,,sept1scan
329,0.5247,True,0.0864,True,,sept1scan
330,0.4296,True,0.0542,True,,sept1scan
331,0.5881,True,0.0954,True,,sept1scan
332,0.4409,True,0.0497,True,,sept1scan
333,0.5846,True,0.1082,True,,sept1scan
334,0.397,True,0.0622,True,,sept1scan
335,0.4205,True,0.0569,True,,sept1scan
336,0.4157,True,0.0558,True,,sept1scan
337,0.4678,True,0.0677,True,,sept1scan
338,0.5127,True,0.071,True,,sept1scan
339,0.6309,True,0.1383,True,,sept1scan
340,0.3798,True,,False,,sept1scan
341,0.5834,True,0.0599,True,,sept1scan
342,0.3302,True,0.0035,True,,sept1scan
343,0.6255,True,0.1303,True,,sept1scan
344,0.4864,False,,False,,none
345,0.3985,True,0.0579,True,,sept1scan
346,0.3609,True,0.0397,True,,sept1scan
347,0.4864,False,,False,,none
348,0.4061,True,0.055,True,,sept1scan
349,0.5398,True,,False,,sept1scan
350,0.3662,True,0.0866,True,,sept1scan
351,0.5054,True,0.0762,True,,sept1scan
352,0.6647,True,0.1292,True,,sept1scan
353,0.456,True,0.0416,True,,sept1scan
