id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
0.00000e+00,5.10210e+03,3.61010e+03,1.11800e+01,5.10211e+03,3.61009e+03,1.00695e+01
1.00000e+00,5.09410e+03,3.71610e+03,1.05000e+01,5.09486e+03,3.71679e+03,1.00688e+01
2.00000e+00,5.08750e+03,3.82350e+03,9.88000e+00,5.08762e+03,3.82348e+03,1.00679e+01
3.00000e+00,5.08050e+03,3.93050e+03,1.00000e+01,5.08038e+03,3.93015e+03,1.00671e+01
4.00000e+00,5.07330e+03,4.03650e+03,1.00000e+01,5.07313e+03,4.03680e+03,1.00662e+01
5.00000e+00,5.06590e+03,4.14370e+03,9.56000e+00,5.06589e+03,4.14343e+03,1.00651e+01
6.00000e+00,5.05850e+03,4.25030e+03,1.00600e+01,5.05864e+03,4.25003e+03,1.00641e+01
7.00000e+00,5.05150e+03,4.35650e+03,9.58000e+00,5.05140e+03,4.35660e+03,1.00629e+01
8.00000e+00,5.04430e+03,4.46350e+03,1.00600e+01,5.04416e+03,4.46314e+03,1.00617e+01
9.00000e+00,5.03670e+03,4.56970e+03,9.96000e+00,5.03692e+03,4.56964e+03,1.00604e+01
1.00000e+01,5.02950e+03,4.67650e+03,9.60000e+00,5.02967e+03,4.67611e+03,1.00590e+01
1.10000e+01,5.02250e+03,4.78250e+03,9.86000e+00,5.02243e+03,4.78254e+03,1.00576e+01
1.20000e+01,5.01510e+03,4.88890e+03,9.94000e+00,5.01520e+03,4.88892e+03,1.00560e+01
1.30000e+01,5.00790e+03,4.99530e+03,9.82000e+00,5.00796e+03,4.99525e+03,1.00545e+01
1.40000e+01,5.00050e+03,5.10150e+03,9.56000e+00,5.00073e+03,5.10153e+03,1.00527e+01
1.50000e+01,4.99330e+03,5.20650e+03,1.00600e+01,4.99349e+03,5.20776e+03,1.00511e+01
1.60000e+01,4.98590e+03,5.31350e+03,9.96000e+00,4.98627e+03,5.31393e+03,1.00493e+01
1.70000e+01,4.97890e+03,5.41970e+03,9.56000e+00,4.97904e+03,5.42004e+03,1.00475e+01
1.80000e+01,4.97190e+03,5.52570e+03,9.80000e+00,4.97182e+03,5.52608e+03,1.00456e+01
1.90000e+01,4.96450e+03,5.63210e+03,9.50000e+00,4.96460e+03,5.63206e+03,1.00436e+01
2.00000e+01,4.95790e+03,5.73750e+03,9.74000e+00,4.95738e+03,5.73798e+03,1.00417e+01
2.10000e+01,4.95030e+03,5.84350e+03,9.60000e+00,4.95017e+03,5.84382e+03,1.00396e+01
2.20000e+01,4.94330e+03,5.94950e+03,9.54000e+00,4.94296e+03,5.94959e+03,1.00375e+01
2.30000e+01,4.93550e+03,6.05550e+03,9.52000e+00,4.93575e+03,6.05529e+03,1.00355e+01
2.40000e+01,4.92850e+03,6.16050e+03,9.66000e+00,4.92855e+03,6.16091e+03,1.00334e+01
2.50000e+01,4.92150e+03,6.26650e+03,9.80000e+00,4.92136e+03,6.26646e+03,1.00313e+01
2.60000e+01,4.91430e+03,6.37230e+03,9.84000e+00,4.91417e+03,6.37193e+03,1.00292e+01
2.70000e+01,4.90750e+03,6.47750e+03,9.82000e+00,4.90699e+03,6.47733e+03,1.00271e+01
2.80000e+01,5.19950e+03,3.56330e+03,1.11800e+01,5.19815e+03,3.56299e+03,1.00696e+01
2.90000e+01,5.19010e+03,3.66950e+03,1.11800e+01,5.19090e+03,3.66970e+03,1.00687e+01
3.00000e+01,5.18390e+03,3.77630e+03,1.02200e+01,5.18365e+03,3.77640e+03,1.00678e+01
3.10000e+01,5.17650e+03,3.88310e+03,1.01000e+01,5.17641e+03,3.88308e+03,1.00668e+01
3.20000e+01,5.16910e+03,3.98950e+03,9.92000e+00,5.16915e+03,3.98974e+03,1.00657e+01
3.30000e+01,5.16190e+03,4.09650e+03,9.56000e+00,5.16190e+03,4.09638e+03,1.00646e+01
3.40000e+01,5.15450e+03,4.20270e+03,9.58000e+00,5.15465e+03,4.20300e+03,1.00633e+01
3.50000e+01,5.14750e+03,4.30970e+03,9.72000e+00,5.14740e+03,4.30959e+03,1.00621e+01
3.60000e+01,5.14010e+03,4.41650e+03,1.01600e+01,5.14014e+03,4.41615e+03,1.00607e+01
3.70000e+01,5.13270e+03,4.52270e+03,9.92000e+00,5.13289e+03,4.52267e+03,1.00593e+01
3.80000e+01,5.12570e+03,4.62950e+03,9.84000e+00,5.12564e+03,4.62916e+03,1.00578e+01
3.90000e+01,5.11850e+03,4.73610e+03,9.96000e+00,5.11838e+03,4.73561e+03,1.00562e+01
4.00000e+01,5.11130e+03,4.84230e+03,1.02800e+01,5.11113e+03,4.84201e+03,1.00546e+01
4.10000e+01,5.10390e+03,4.94870e+03,1.07200e+01,5.10388e+03,4.94837e+03,1.00530e+01
4.20000e+01,5.09670e+03,5.05490e+03,9.90000e+00,5.09663e+03,5.05468e+03,1.00511e+01
4.30000e+01,5.08950e+03,5.16090e+03,1.03000e+01,5.08938e+03,5.16094e+03,1.00493e+01
4.40000e+01,5.08230e+03,5.26710e+03,1.00400e+01,5.08213e+03,5.26714e+03,1.00474e+01
4.50000e+01,5.07490e+03,5.37310e+03,1.00200e+01,5.07488e+03,5.37328e+03,1.00454e+01
4.60000e+01,5.06630e+03,5.47750e+03,1.07400e+01,5.06764e+03,5.47936e+03,1.00434e+01
4.70000e+01,5.06050e+03,5.58550e+03,1.01400e+01,5.06040e+03,5.58538e+03,1.00413e+01
4.80000e+01,5.05350e+03,5.69090e+03,9.84000e+00,5.05316e+03,5.69132e+03,1.00392e+01
4.90000e+01,5.04630e+03,5.79690e+03,9.56000e+00,5.04592e+03,5.79720e+03,1.00371e+01
5.00000e+01,5.03850e+03,5.90250e+03,9.46000e+00,5.03869e+03,5.90301e+03,1.00350e+01
5.10000e+01,5.03150e+03,6.00850e+03,9.54000e+00,5.03146e+03,6.00875e+03,1.00327e+01
5.20000e+01,5.02410e+03,6.11450e+03,9.34000e+00,5.02423e+03,6.11441e+03,1.00304e+01
5.30000e+01,5.01730e+03,6.21970e+03,9.52000e+00,5.01701e+03,6.22000e+03,1.00283e+01
5.40000e+01,5.01010e+03,6.32550e+03,1.00000e+01,5.00979e+03,6.32551e+03,1.00262e+01
5.50000e+01,5.00250e+03,6.43130e+03,9.72000e+00,5.00258e+03,6.43095e+03,1.00240e+01
5.60000e+01,5.29450e+03,3.51690e+03,1.05000e+01,5.29420e+03,3.51589e+03,1.00694e+01
5.70000e+01,5.28810e+03,3.62270e+03,1.07400e+01,5.28695e+03,3.62261e+03,1.00685e+01
5.80000e+01,5.27950e+03,3.72950e+03,1.02800e+01,5.27970e+03,3.72931e+03,1.00675e+01
5.90000e+01,5.27230e+03,3.83570e+03,9.84000e+00,5.27244e+03,3.83600e+03,1.00665e+01
6.00000e+01,5.26550e+03,3.94250e+03,1.02600e+01,5.26519e+03,3.94267e+03,1.00651e+01
