id,x_meas,y_meas,r_meas,x_tran,y_tran,r_tran
0.00000e+00,5.06250e+03,3.45410e+03,1.09600e+01,5.06289e+03,3.45335e+03,1.00623e+01
1.00000e+00,5.15290e+03,3.39570e+03,1.05200e+01,5.15221e+03,3.39443e+03,1.00628e+01
2.00000e+00,5.24090e+03,3.33770e+03,1.09600e+01,5.24153e+03,3.33551e+03,1.00628e+01
3.00000e+00,5.33110e+03,3.27670e+03,9.56000e+00,5.33084e+03,3.27660e+03,1.00623e+01
4.00000e+00,5.42030e+03,3.21750e+03,9.96000e+00,5.42016e+03,3.21768e+03,1.00611e+01
5.00000e+00,5.50950e+03,3.15870e+03,9.56000e+00,5.50947e+03,3.15877e+03,1.00596e+01
6.00000e+00,5.59890e+03,3.10010e+03,9.48000e+00,5.59876e+03,3.09987e+03,1.00577e+01
7.00000e+00,5.68830e+03,3.04110e+03,9.72000e+00,5.68805e+03,3.04098e+03,1.00555e+01
8.00000e+00,5.77750e+03,2.98230e+03,9.40000e+00,5.77732e+03,2.98209e+03,1.00530e+01
9.00000e+00,5.86650e+03,2.92350e+03,1.02000e+01,5.86658e+03,2.92321e+03,1.00501e+01
1.00000e+01,5.95590e+03,2.86450e+03,1.00400e+01,5.95582e+03,2.86435e+03,1.00469e+01
1.10000e+01,6.04530e+03,2.80550e+03,9.48000e+00,6.04503e+03,2.80550e+03,1.00437e+01
1.20000e+01,6.13450e+03,2.74650e+03,9.56000e+00,6.13423e+03,2.74666e+03,1.00401e+01
1.30000e+01,6.22350e+03,2.68750e+03,9.70000e+00,6.22341e+03,2.68784e+03,1.00364e+01
1.40000e+01,6.31270e+03,2.62850e+03,1.00200e+01,6.31256e+03,2.62903e+03,1.00328e+01
1.50000e+01,6.40050e+03,2.56850e+03,9.98000e+00,6.40169e+03,2.57023e+03,1.00288e+01
1.60000e+01,6.49070e+03,2.51130e+03,9.66000e+00,6.49079e+03,2.51145e+03,1.00248e+01
1.70000e+01,6.57990e+03,2.45290e+03,9.72000e+00,6.57987e+03,2.45269e+03,1.00207e+01
1.80000e+01,6.66870e+03,2.39370e+03,1.03000e+01,6.66891e+03,2.39395e+03,1.00163e+01
1.90000e+01,6.75810e+03,2.33530e+03,9.66000e+00,6.75794e+03,2.33522e+03,1.00117e+01
2.00000e+01,6.84710e+03,2.27670e+03,9.86000e+00,6.84693e+03,2.27651e+03,1.00066e+01
2.10000e+01,6.93550e+03,2.21770e+03,9.56000e+00,6.93588e+03,2.21783e+03,1.00013e+01
2.20000e+01,7.02450e+03,2.15930e+03,9.60000e+00,7.02481e+03,2.15916e+03,9.99536e+00
2.30000e+01,7.11350e+03,2.10050e+03,9.76000e+00,7.11369e+03,2.10052e+03,9.98862e+00
2.40000e+01,7.20250e+03,2.04150e+03,9.44000e+00,7.20253e+03,2.04191e+03,9.98096e+00
2.50000e+01,7.29150e+03,1.98350e+03,1.02600e+01,7.29133e+03,1.98333e+03,9.97212e+00
2.60000e+01,7.38010e+03,1.92450e+03,1.01200e+01,7.38006e+03,1.92479e+03,9.96182e+00
2.70000e+01,7.46850e+03,1.86630e+03,9.30000e+00,7.46873e+03,1.86629e+03,9.94961e+00
2.80000e+01,4.96830e+03,3.40570e+03,1.11600e+01,4.96722e+03,3.40547e+03,1.00612e+01
2.90000e+01,5.05470e+03,3.34570e+03,1.11800e+01,5.05653e+03,3.34656e+03,1.00621e+01
3.00000e+01,5.14650e+03,3.28670e+03,1.09600e+01,5.14584e+03,3.28764e+03,1.00624e+01
3.10000e+01,5.23630e+03,3.22830e+03,1.02800e+01,5.23516e+03,3.22872e+03,1.00621e+01
3.20000e+01,5.32470e+03,3.16950e+03,9.68000e+00,5.32448e+03,3.16981e+03,1.00613e+01
3.30000e+01,5.41370e+03,3.11110e+03,9.92000e+00,5.41379e+03,3.11090e+03,1.00600e+01
3.40000e+01,5.50330e+03,3.05230e+03,9.52000e+00,5.50309e+03,3.05199e+03,1.00583e+01
3.50000e+01,5.59250e+03,2.99350e+03,1.00800e+01,5.59238e+03,2.99310e+03,1.00563e+01
3.60000e+01,5.68170e+03,2.93450e+03,9.72000e+00,5.68166e+03,2.93421e+03,1.00539e+01
3.70000e+01,5.77070e+03,2.87550e+03,9.40000e+00,5.77093e+03,2.87533e+03,1.00512e+01
3.80000e+01,5.86050e+03,2.81650e+03,9.60000e+00,5.86018e+03,2.81647e+03,1.00482e+01
3.90000e+01,5.94950e+03,2.75750e+03,9.92000e+00,5.94941e+03,2.75761e+03,1.00450e+01
4.00000e+01,6.03850e+03,2.69830e+03,9.86000e+00,6.03862e+03,2.69878e+03,1.00417e+01
4.10000e+01,6.12730e+03,2.63910e+03,1.03200e+01,6.12781e+03,2.63995e+03,1.00380e+01
4.20000e+01,6.21750e+03,2.58090e+03,1.01000e+01,6.21698e+03,2.58114e+03,1.00343e+01
4.30000e+01,6.30570e+03,2.52150e+03,9.88000e+00,6.30613e+03,2.52235e+03,1.00305e+01
4.40000e+01,6.39530e+03,2.46330e+03,9.96000e+00,6.39525e+03,2.46357e+03,1.00266e+01
4.50000e+01,6.48450e+03,2.40470e+03,9.68000e+00,6.48434e+03,2.40481e+03,1.00225e+01
4.60000e+01,6.57350e+03,2.34590e+03,9.74000e+00,6.57341e+03,2.34606e+03,1.00182e+01
4.70000e+01,6.66210e+03,2.28690e+03,1.02400e+01,6.66245e+03,2.28734e+03,1.00137e+01
4.80000e+01,6.75110e+03,2.22850e+03,9.88000e+00,6.75146e+03,2.22863e+03,1.00089e+01
4.90000e+01,6.84050e+03,2.16950e+03,9.46000e+00,6.84044e+03,2.16994e+03,1.00038e+01
5.00000e+01,6.92950e+03,2.11150e+03,1.02200e+01,6.92939e+03,2.11127e+03,9.99819e+00
5.10000e+01,7.01850e+03,2.05250e+03,9.82000e+00,7.01830e+03,2.05263e+03,9.99185e+00
5.20000e+01,7.10750e+03,1.99450e+03,9.40000e+00,7.10717e+03,1.99402e+03,9.98452e+00
5.30000e+01,7.19610e+03,1.93550e+03,9.44000e+00,7.19600e+03,1.93543e+03,9.97642e+00
5.40000e+01,7.28450e+03,1.87650e+03,9.40000e+00,7.28477e+03,1.87689e+03,9.96675e+00
5.50000e+01,7.37350e+03,1.81850e+03,1.01800e+01,7.37348e+03,1.81838e+03,9.95547e+00
5.60000e+01,4.87130e+03,3.35730e+03,1.04400e+01,4.87156e+03,3.35761e+03,1.00603e+01
5.70000e+01,4.96170e+03,3.29870e+03,1.11600e+01,4.96086e+03,3.29869e+03,1.00613e+01
5.80000e+01,5.05070e+03,3.23830e+03,1.09600e+01,5.05017e+03,3.23977e+03,1.00619e+01
5.90000e+01,5.13910e+03,3.18050e+03,1.03600e+01,5.13948e+03,3.18085e+03,1.00618e+01
6.00000e+01,5.22870e+03,3.12170e+03,1.00000e+01,5.22879e+03,3.12194e+03,1.00614e+01
6.10000e+01,5.31790e+03,3.06290e+03,1.01600e+01,5.31810e+03,3.06303e+03,1.00604e+01
6.20000e+01,5.40750e+03,3.00430e+03,9.82000e+00,5.40741e+03,3.00412e+03,1.00588e+01
6.30000e+01,5.49670e+03,2.94550e+03,9.44000e+00,5.49671e+03,2.94522e+03,1.00570e+01
6.40000e+01,5.58630e+03,2.88650e+03,9.72000e+00,5.58600e+03,2.88633e+03,1.00548e+01
6.50000e+01,5.67550e+03,2.82750e+03,1.02000e+01,5.67527e+03,2.82746e+03,1.00523e+01
6.60000e+01,5.76450e+03,2.76850e+03,1.00400e+01,5.76453e+03,2.76859e+03,1.00495e+01
6.70000e+01,5.85370e+03,2.70950e+03,1.01400e+01,5.85377e+03,2.70974e+03,1.00465e+01
6.80000e+01,5.94350e+03,2.65050e+03,9.74000e+00,5.94300e+03,2.65090e+03,1.00432e+01
6.90000e+01,6.03250e+03,2.59150e+03,9.76000e+00,6.03220e+03,2.59207e+03,1.00396e+01
7.00000e+01,6.12150e+03,2.53270e+03,9.88000e+00,6.12138e+03,2.53326e+03,1.00360e+01
7.10000e+01,6.21050e+03,2.47450e+03,1.00600e+01,6.21055e+03,2.47447e+03,1.00323e+01
7.20000e+01,6.29950e+03,2.41570e+03,9.74000e+00,6.29968e+03,2.41569e+03,1.00284e+01
7.30000e+01,6.38870e+03,2.35710e+03,9.60000e+00,6.38879e+03,2.35693e+03,1.00243e+01
7.40000e+01,6.47830e+03,2.29830e+03,1.01200e+01,6.47788e+03,2.29818e+03,1.00202e+01
7.50000e+01,6.56730e+03,2.23950e+03,9.70000e+00,6.56694e+03,2.23945e+03,1.00158e+01
7.60000e+01,6.65550e+03,2.18050e+03,9.62000e+00,6.65597e+03,2.18075e+03,1.00112e+01
