id,x_dot,y_dot,r_dot
0.00000e+00,5.14474e+03,3.50903e+03,1.00297e+01
1.00000e+00,5.23865e+03,3.56032e+03,1.00301e+01
2.00000e+00,5.33256e+03,3.61162e+03,1.00301e+01
3.00000e+00,5.42648e+03,3.66292e+03,1.00298e+01
4.00000e+00,5.52038e+03,3.71421e+03,1.00291e+01
5.00000e+00,5.61427e+03,3.76550e+03,1.00283e+01
6.00000e+00,5.70815e+03,3.81678e+03,1.00270e+01
7.00000e+00,5.80201e+03,3.86805e+03,1.00256e+01
8.00000e+00,5.89585e+03,3.91932e+03,1.00239e+01
9.00000e+00,5.98967e+03,3.97057e+03,1.00220e+01
1.00000e+01,6.08347e+03,4.02181e+03,1.00198e+01
1.10000e+01,6.17723e+03,4.07304e+03,1.00175e+01
1.20000e+01,6.27097e+03,4.12425e+03,1.00151e+01
1.30000e+01,6.36468e+03,4.17545e+03,1.00125e+01
1.40000e+01,6.45835e+03,4.22662e+03,1.00097e+01
1.50000e+01,6.55200e+03,4.27778e+03,1.00068e+01
1.60000e+01,6.64560e+03,4.32893e+03,1.00040e+01
1.70000e+01,6.73918e+03,4.38005e+03,1.00009e+01
1.80000e+01,6.83271e+03,4.43115e+03,9.99783e+00
1.90000e+01,6.92621e+03,4.48223e+03,9.99458e+00
2.00000e+01,7.01967e+03,4.53329e+03,9.99126e+00
2.10000e+01,7.11309e+03,4.58433e+03,9.98777e+00
2.20000e+01,7.20647e+03,4.63535e+03,9.98413e+00
2.30000e+01,7.29981e+03,4.68634e+03,9.98025e+00
2.40000e+01,7.39310e+03,4.73730e+03,9.97605e+00
2.50000e+01,7.48633e+03,4.78824e+03,9.97146e+00
2.60000e+01,7.57951e+03,4.83915e+03,9.96636e+00
2.70000e+01,7.67263e+03,4.89002e+03,9.96074e+00
2.80000e+01,5.14221e+03,3.40205e+03,1.00299e+01
2.90000e+01,5.23613e+03,3.45335e+03,1.00302e+01
3.00000e+01,5.33004e+03,3.50464e+03,1.00304e+01
3.10000e+01,5.42396e+03,3.55594e+03,1.00301e+01
3.20000e+01,5.51787e+03,3.60724e+03,1.00295e+01
3.30000e+01,5.61177e+03,3.65853e+03,1.00288e+01
3.40000e+01,5.70566e+03,3.70982e+03,1.00275e+01
3.50000e+01,5.79953e+03,3.76110e+03,1.00261e+01
3.60000e+01,5.89338e+03,3.81238e+03,1.00244e+01
3.70000e+01,5.98721e+03,3.86365e+03,1.00227e+01
