id_dot,x_dot,y_dot,r_dot
1,4961.98,3620.37,10.0278
2,4868.09,3569.08,10.0266
3,4959.45,3513.41,10.028
4,4865.56,3462.13,10.0267
5,4956.92,3406.45,10.0281
6,4863.03,3355.17,10.0268
7,4954.39,3299.49,10.0281
8,4860.5,3248.22,10.0267
9,4951.87,3192.53,10.0279
10,4857.98,3141.27,10.0264
11,4949.34,3085.58,10.0277
12,4855.45,3034.33,10.0261
13,4946.81,2978.64,10.0272
14,4852.93,2927.41,10.0257
15,4944.29,2871.72,10.0267
16,4850.41,2820.5,10.025
17,4941.76,2764.82,10.0261
18,4847.89,2713.62,10.0244
19,4939.24,2657.94,10.0254
20,4845.37,2606.76,10.0236
21,4936.71,2551.08,10.0245
22,4842.86,2499.92,10.0227
23,4934.19,2444.25,10.0235
24,4840.34,2393.11,10.0218
25,4931.66,2337.46,10.0225
26,4837.83,2286.34,10.0207
27,4929.14,2230.69,10.0215
28,4835.32,2179.59,10.0195
29,4926.62,2123.96,10.0202
30,4832.81,2072.88,10.0183
31,4924.1,2017.26,10.019
32,4830.3,1966.21,10.017
33,4921.58,1910.6,10.0177
34,4827.79,1859.57,10.0157
35,4919.06,1803.97,10.0163
36,4825.29,1752.97,10.0143
37,4916.54,1697.39,10.0149
38,4822.78,1646.41,10.0128
39,4914.02,1590.84,10.0133
40,4820.28,1539.89,10.0114
41,4911.51,1484.34,10.0118
42,4817.78,1433.42,10.0097
43,4908.99,1377.88,10.0102
44,4815.28,1326.98,10.0081
45,4906.48,1271.46,10.0085
46,4812.78,1220.6,10.0064
47,4903.96,1165.1,10.0069
48,4810.28,1114.26,10.0047
49,4901.45,1058.78,10.005
50,4807.79,1007.98,10.0028
51,4898.94,952.523,10.0032
52,4805.3,901.763,10.0009
53,4896.43,846.328,10.0013
54,4802.81,795.6080000000001,9.99897
55,4893.92,740.203,9.99922
56,4800.32,689.528,9.996830000000001
57,4891.42,634.1569999999999,9.99702
58,4779.28,3731.68,10.0244
59,4685.42,3680.39,10.0227
60,4776.74,3624.75,10.0248
61,4682.88,3573.46,10.023
62,4774.21,3517.8,10.025
63,4680.35,3466.52,10.0232
64,4771.68,3410.85,10.0251
65,4677.82,3359.58,10.0233
66,4769.15,3303.9,10.0251
67,4675.29,3252.65,10.0231
68,4766.63,3196.96,10.0249
69,4672.77,3145.71,10.0229
70,4764.1,3090.02,10.0247
71,4670.25,3038.79,10.0226
72,4761.59,2983.1,10.0243
73,4667.74,2931.89,10.0221
74,4759.07,2876.19,10.0238
75,4665.23,2825.0,10.0216
76,4756.56,2769.3,10.0231
77,4662.72,2718.13,10.0209
78,4754.04,2662.44,10.0224
79,4660.22,2611.28,10.0201
80,4751.53,2555.6,10.0216
81,4657.72,2504.46,10.0194
82,4749.03,2448.78,10.0207
83,4655.22,2397.67,10.0183
84,4746.52,2342.0,10.0196
85,4652.73,2290.9,10.0173
86,4744.02,2235.24,10.0186
87,4650.24,2184.17,10.0162
88,4741.52,2128.52,10.0174
89,4647.75,2077.48,10.015
90,4739.02,2021.84,10.0162
91,4645.27,1970.82,10.0137
92,4736.53,1915.19,10.0148
93,4642.78,1864.19,10.0124
94,4734.04,1808.58,10.0135
95,4640.3,1757.61,10.011
96,4731.54,1702.0,10.0121
97,4637.83,1651.06,10.0096
98,4729.05,1595.47,10.0106
99,4635.35,1544.55,10.0081
100,4726.56,1488.98,10.0091
101,4632.88,1438.09,10.0066
102,4724.08,1382.53,10.0075
103,4630.41,1331.67,10.005
104,4721.59,1276.13,10.0058
105,4627.94,1225.3,10.0033
106,4719.11,1169.77,10.0041
107,4625.47,1118.98,10.0015
108,4716.63,1063.47,10.0023
109,4623.01,1012.71,9.99976
110,4714.16,957.2239999999999,10.0005
111,4620.56,906.5039999999999,9.9978
112,4711.68,851.043,9.998489999999999
113,4618.1,800.365,9.9958
114,4709.21,744.932,9.99644
115,4596.66,3842.94,10.0199
116,4502.84,3791.65,10.0177
117,4594.11,3736.03,10.0204
118,4500.29,3684.75,10.0181
119,4591.57,3629.11,10.0207
120,4497.75,3577.84,10.0184
121,4589.03,3522.19,10.0209
122,4495.21,3470.92,10.0185
123,4586.5,3415.26,10.021
124,4492.68,3364.0,10.0186
125,4583.98,3308.33,10.021
126,4490.16,3257.08,10.0185
127,4581.45,3201.4,10.0208
128,4487.64,3150.17,10.0183
129,4578.94,3094.48,10.0206
130,4485.13,3043.27,10.018
131,4576.42,2987.58,10.0202
132,4482.62,2936.38,10.0176
133,4573.92,2880.69,10.0197
134,4480.12,2829.51,10.0171
135,4571.41,2773.82,10.0192
136,4477.63,2722.66,10.0164
137,4568.92,2666.97,10.0184
138,4475.14,2615.83,10.0157
139,4566.42,2560.14,10.0176
140,4472.66,2509.03,10.0149
141,4563.93,2453.34,10.0168
142,4470.18,2402.25,10.014
143,4561.45,2346.58,10.0158
144,4467.7,2295.51,10.013
145,4558.96,2239.84,10.0147
146,4465.23,2188.8,10.012
