# Positions of fiducials measured using x-y scanner at ASIAA,
# and applied transformation proposed in Kawanomoto's report
# (PFS-PFI-NAJ802206-04_Coordinates_YM2.pdf, page 8)
#
# x-y scanner data os from Richard Chou <cychou@asiaa.sinica.edu.tw>, sent to Chi-Hung Yan 2021-05-24
#
# N.b. x_mm is swapped from the ASRD data to match the definitions on the summit
#
# Columns:
#  fiducialId    ID for fiducial
#  x_mm, y_mm    Position of object, in mm
#
fiducialId,x_mm,y_mm
1,-15.708,9.984
2,-30.484,17.075
3,-43.553,24.875
4,-57.533,33.424
5,-70.963,40.931
6,-84.149,48.655
7,-97.708,56.455
8,-112.076,64.658
9,-126.443,73.708
10,-140.277,80.708
11,-153.592,89.117
12,-167.112,97.085
13,-180.948,105.550
14,-195.668,113.831
15,-200.814,100.599
16,-201.136,83.972
17,-200.787,68.152
18,-201.289,52.621
19,-201.326,36.283
20,-201.458,20.173
21,-201.006,3.720
22,-200.893,-11.766
23,-200.523,-27.631
24,-201.409,-43.777
25,-201.481,-59.670
26,-201.171,-75.568
27,-201.292,-91.888
28,-201.548,-108.006
29,-228.651,-67.842
30,-227.573,69.940
31,-172.302,164.002
33,16.938,9.459
34,29.663,17.368
35,44.217,25.175
36,57.770,32.207
37,71.421,41.146
38,85.836,48.684
39,99.002,57.252
40,113.422,65.409
41,127.041,73.146
42,140.529,80.968
43,154.493,89.188
44,168.628,96.992
45,182.235,104.308
46,196.967,113.397
47,173.371,131.932
48,159.013,139.728
49,145.413,147.896
50,131.953,156.297
51,117.445,164.073
52,103.771,171.496
53,90.031,179.963
54,75.847,188.019
55,63.211,195.944
56,48.793,204.284
57,34.607,211.986
61,55.174,231.961
62,173.217,164.602
64,227.931,-68.183
65,0.406,-18.119
66,0.313,-34.626
67,0.675,-49.929
68,0.336,-66.211
69,0.146,-82.378
70,0.613,-98.255
71,0.356,-114.504
72,-0.132,-131.227
73,0.522,-146.769
74,0.275,-162.123
75,-0.113,-178.661
76,0.763,-193.639
77,0.269,-209.437
78,-0.222,-227.012
79,13.177,-223.035
80,26.626,-215.956
81,40.870,-208.296
82,54.763,-200.235
83,68.930,-191.995
84,82.565,-184.099
85,96.394,-175.973
86,110.297,-168.272
87,124.434,-160.168
88,138.088,-152.295
89,151.792,-144.176
90,166.088,-135.971
91,180.189,-128.482
92,193.532,-120.393
93,173.538,-166.871
94,55.128,-233.751
95,-54.393,-230.304
96,-173.315,-163.058
