Module #,Cobra ID,comments,theta limit 1,theta limit 2,theta forbidden angle,max phi angle for full theta circular motion
SC01,PID07,,5.34,26.95,21.61,141
SC01,PID11,,1.76,24.48,22.71,139
SC01,PID15,no cllision,,,,
SC01,PID19,no cllision,,,,
SC01,PID23,,1.85,26.52,24.66,136
SC01,PID27,no cllision,,,,
SC01,PID31,no cllision,,,,
SC01,PID35,,353.78,22.21,28.43,128
SC01,PID39,no cllision,,,,
SC01,PID43,,7.86,25.58,17.73,148
SC01,PID47,fully stuck,,,,
SC01,PID51,no cllision,,,,
SC01,PID55,no cllision,,,,
SC02,PID01,rotate within Cobra body,302.17,4.08,61.91,60
SC02,PID03,no cllision,,,,
SC03,PID01,rotate within Cobra body,292.29,352.27,59.98,60
SC03,PID03,,30.91,68.64,37.73,112
SC04,PID01,,298.84,350.53,51.69,76
SC04,PID03,,26.22,60.74,34.52,116
SC05,PID01,rotate within Cobra body,297.75,356.71,58.96,60
SC05,PID03,,39.75,54.42,14.67,154
SC06,PID01,rotate within Cobra body,297.62,353.3,55.68,60
SC06,PID03,,30.23,55.94,25.71,133
SC07,PID01,,311.72,344.26,32.54,121
SC07,PID03,,26.16,47.48,21.33,141
SC08,PID01,,314.85,338.87,24.01,136
SC08,PID03,,29.43,41.09,11.66,159
SC09,PID01,,312.51,344.76,32.25,121
SC09,PID03,,29.99,40.26,10.26,161
SC10,PID01,rotate within Cobra body,304.48,359.23,54.75,60
SC10,PID03,no cllision,,,,
SC11,PID01,,299.39,349.59,50.2,81
SC11,PID03,,28.28,54.26,25.99,133
SC12,PID01,,309.22,349.7,40.48,105
SC12,PID03,no cllision,,,,
SC13,PID01,,310.62,349.94,39.32,105
SC13,PID03,no cllision,,,,
SC14,PID01,,314.31,356.2,41.89,101
SC14,PID03,no cllision,,,,
SC15,PID07,,231.09,271.41,40.31,105
SC15,PID11,no cllision,,,,
SC15,PID15,no cllision,,,,
SC15,PID19,,239.88,262.39,22.5,140
SC15,PID23,,246.11,267.25,21.14,141
SC15,PID27,no cllision,,,,
SC15,PID31,no cllision,,,,
SC15,PID35,no cllision,,,,
SC15,PID39,,240.28,265.47,25.19,134
SC15,PID43,no cllision,,,,
SC15,PID47,no cllision,,,,
SC15,PID51,,259.27,273.45,14.18,154
SC15,PID55,broken fiber,,,,
SC16,PID01,rotate within Cobra body,177.23,239.78,62.56,60
SC16,PID03,,279.5,300.32,20.82,143
SC17,PID01,,178.55,233.74,55.18,60
SC17,PID03,,271.54,296.8,25.26,135
SC18,PID01,rotate within Cobra body,179.06,242.82,63.76,60
SC18,PID03,,277.16,298.8,21.64,140
SC19,PID01,,189.59,241.11,51.52,75
SC19,PID03,no cllision,,,,
SC20,PID01,rotate within Cobra body,178.02,239,60.98,60
SC20,PID03,,276.86,296.63,19.77,145
SC21,PID01,rotate within Cobra body,182.87,242.11,59.24,60
SC21,PID03,no cllision,,,,
SC22,PID01,rotate within Cobra body,176.64,236.79,60.15,60
SC22,PID03,,277.31,293.08,15.77,151
SC23,PID01,rotate within Cobra body,178.06,241.11,63.05,60
SC23,PID03,no cllision,,,,
SC24,PID01,rotate within Cobra body,178.49,236.42,57.94,60
SC24,PID03,no cllision,,,,
SC25,PID01,rotate within Cobra body,181.44,235.63,54.19,60
SC25,PID03,,268.77,298.19,29.42,126
SC26,PID01,rotate within Cobra body,179.67,235.24,55.58,60
SC26,PID03,,275.91,297.67,21.76,141
SC27,PID01,rotate within Cobra body,179.69,238.54,58.85,60
SC27,PID03,,276.9,292.98,16.08,151
SC28,PID01,,191.56,235.39,43.82,98
SC28,PID03,no cllision,,,,
SC29,PID07,,108.22,142.53,34.31,116
SC29,PID11,no cllision,,,,
SC29,PID15,,106.67,152.8,46.13,88
SC29,PID19,,116.84,160.86,44.02,97
SC29,PID23,,119.29,151.91,32.62,120
SC29,PID27,,113.05,158.71,45.67,91
SC29,PID31,,124.16,141.94,17.78,148
SC29,PID35,,114.8,147.39,32.59,120
SC29,PID39,,116.56,148.94,32.38,121
SC29,PID43,,126.79,152.05,25.26,134
SC29,PID47,,123.51,148.13,24.62,136
SC29,PID51,,124.85,146.8,21.95,141
SC29,PID55,,128.88,151.28,22.4,140
SC30,PID01,rotate within Cobra body,53.55,110.75,57.2,60
SC30,PID03,,147.05,191.68,44.63,95
SC31,PID01,rotate within Cobra body,51.91,112.98,61.07,60
SC31,PID03,,151.65,189.05,37.41,110
SC32,PID01,,58.6,105.19,46.59,91
SC32,PID03,,143.96,182.95,38.99,107
SC33,PID01,fully stuck,,,,
SC33,PID03,,146.13,184.14,38.01,110
SC34,PID01,fully stuck,,,,
SC34,PID03,,156.42,177.46,21.04,142
SC35,PID01,,58.06,108.11,50.05,83
SC35,PID03,,146.06,184.73,38.67,108
SC36,PID01,rotate within Cobra body,57.21,112.78,55.57,60
SC36,PID03,,150.75,175.79,25.04,135
SC37,PID01,fully stuck,,,,
SC37,PID03,,160.34,189.01,28.67,128
SC38,PID01,rotate within Cobra body,52.32,114.21,61.89,60
SC38,PID03,,152.63,189.67,37.04,110
SC39,PID01,rotate within Cobra body,56.33,112.66,56.33,60
SC39,PID03,,146.2,180.91,34.71,116
SC40,PID01,rotate within Cobra body,57.87,117.56,59.69,60
SC40,PID03,,156.32,179.85,23.53,138
SC41,PID01,,55.79,103.7,47.91,87
SC41,PID03,,136.55,181.8,45.25,93
SC42,PID01,,75.41,100.18,24.77,135
SC42,PID03,,143.62,158.36,14.74,154
